"sex","age","pop","year"
1,1,102934.216371745,"1993"
1,2,116112.221605638,"1993"
1,3,121927.606076313,"1993"
1,4,129987.134730534,"1993"
1,5,145854.603251597,"1993"
1,6,147726.576728951,"1993"
1,7,135554.405397082,"1993"
1,8,122667.430010467,"1993"
1,9,117459.125113755,"1993"
1,10,106301.996389525,"1993"
1,11,93359.2475217306,"1993"
1,12,72971.8682859932,"1993"
1,13,54511.3672629777,"1993"
1,14,42013.7637496456,"1993"
1,15,32686.2137071077,"1993"
1,16,16580.5350841836,"1993"
1,17,8290.26754209181,"1993"
1,18,8290.26754209181,"1993"
1,19,0,"1993"
2,1,98011.207599946,"1993"
2,2,110326.026994271,"1993"
2,3,116247.572203267,"1993"
2,4,124405.442883493,"1993"
2,5,144610.211749386,"1993"
2,6,145573.129608259,"1993"
2,7,134300.457690932,"1993"
2,8,121547.442908646,"1993"
2,9,116442.34501449,"1993"
2,10,103046.458330755,"1993"
2,11,94526.6681449296,"1993"
2,12,73533.5993285297,"1993"
2,13,56603.1334309628,"1993"
2,14,47607.4442889026,"1993"
2,15,39641.2189349735,"1993"
2,16,24084.7614148821,"1993"
2,17,12042.380707441,"1993"
2,18,12042.380707441,"1993"
2,19,0,"1993"
1,1,103973.955931056,"1994"
1,2,117285.072328927,"1994"
1,3,123159.198056882,"1994"
1,4,131300.136091448,"1994"
1,5,147327.88207232,"1994"
1,6,149218.764372678,"1994"
1,7,136923.641815235,"1994"
1,8,123906.494960068,"1994"
1,9,118645.580922985,"1994"
1,10,107375.753928813,"1994"
1,11,94302.2702239704,"1994"
1,12,73708.9578646396,"1994"
1,13,55061.9871343209,"1994"
1,14,42438.1452016622,"1994"
1,15,33016.377481927,"1994"
1,16,16748.0152365491,"1994"
1,17,8374.00761827455,"1994"
1,18,8374.00761827455,"1994"
1,19,0,"1994"
2,1,99001.2197979253,"1994"
2,2,111440.431307345,"1994"
2,3,117421.79010431,"1994"
2,4,125662.06351868,"1994"
2,5,146070.920958976,"1994"
2,6,147043.565260868,"1994"
2,7,135657.027970638,"1994"
2,8,122775.194857218,"1994"
2,9,117618.530317667,"1994"
2,10,104087.331647227,"1994"
2,11,95481.4829746764,"1994"
2,12,74276.3629581109,"1994"
2,13,57174.8822534978,"1994"
2,14,48088.3275645481,"1994"
2,15,40041.6352878521,"1994"
2,16,24328.0418332142,"1994"
2,17,12164.0209166071,"1994"
2,18,12164.0209166071,"1994"
2,19,0,"1994"
1,1,105024.197910157,"1995"
1,2,118469.770029219,"1995"
1,3,124403.230360487,"1995"
1,4,132626.400092372,"1995"
1,5,148816.042497293,"1995"
1,6,150726.024618867,"1995"
1,7,138306.708904277,"1995"
1,8,125158.07571724,"1995"
1,9,119844.021134328,"1995"
1,10,108460.357503852,"1995"
1,11,95254.8184080509,"1995"
1,12,74453.4927925653,"1995"
1,13,55618.1688225464,"1995"
1,14,42866.8133350124,"1995"
1,15,33349.8762443707,"1995"
1,16,16917.1871076254,"1995"
1,17,8458.59355381268,"1995"
1,18,8458.59355381268,"1995"
1,19,0,"1995"
2,1,100001.232119116,"1995"
2,2,112566.092229641,"1995"
2,3,118607.868792233,"1995"
2,4,126931.377291596,"1995"
2,5,147546.384807046,"1995"
2,6,148528.853798857,"1995"
2,7,137027.300980442,"1995"
2,8,124015.348340624,"1995"
2,9,118806.596280471,"1995"
2,10,105138.718835583,"1995"
2,11,96445.942398663,"1995"
2,12,75026.629250617,"1995"
2,13,57752.4063166644,"1995"
2,14,48574.0682470183,"1995"
2,15,40446.0962503556,"1995"
2,16,24573.7796295093,"1995"
2,17,12286.8898147546,"1995"
2,18,12286.8898147546,"1995"
2,19,0,"1995"
1,1,106085.048394098,"1996"
1,2,119666.434372949,"1996"
1,3,125659.828646957,"1996"
1,4,133966.060699366,"1996"
1,5,150319.23484575,"1996"
1,6,152248.509716027,"1996"
1,7,139703.746367957,"1996"
1,8,126422.298704283,"1996"
1,9,121054.566802352,"1996"
1,10,109555.916670557,"1996"
1,11,96216.9882909605,"1996"
1,12,75205.5482753185,"1996"
1,13,56179.9685076226,"1996"
1,14,43299.8114495074,"1996"
1,15,33686.7436811825,"1996"
1,16,17088.0677854802,"1996"
1,17,8544.03389274008,"1996"
1,18,8544.03389274008,"1996"
1,19,0,"1996"
2,1,101011.345574865,"1996"
2,2,113703.123464284,"1996"
2,3,119805.928072962,"1996"
2,4,128213.512415753,"1996"
2,5,149036.75233035,"1996"
2,6,150029.14525137,"1996"
2,7,138411.41513176,"1996"
2,8,125268.028626893,"1996"
2,9,120006.662909567,"1996"
2,10,106200.726096549,"1996"
2,11,97420.1438370333,"1996"
2,12,75784.4739905223,"1996"
2,13,58335.7639562267,"1996"
2,14,49064.7154010286,"1996"
2,15,40854.6426771269,"1996"
2,16,24821.999625767,"1996"
2,17,12410.9998128835,"1996"
2,18,12410.9998128835,"1996"
2,19,0,"1996"
1,1,107156.614539493,"1997"
1,2,120875.186235302,"1997"
1,3,126929.119845411,"1997"
1,4,135319.253231682,"1997"
1,5,151837.610955303,"1997"
1,6,153786.373450532,"1997"
1,7,141114.895321169,"1997"
1,8,127699.291620488,"1997"
1,9,122277.340204395,"1997"
1,10,110662.542091472,"1997"
1,11,97188.8770615762,"1997"
1,12,75965.2002780995,"1997"
1,13,56747.4429369925,"1997"
1,14,43737.1832823307,"1997"
1,15,34027.0138193763,"1997"
1,16,17260.674530788,"1997"
1,17,8630.33726539402,"1997"
1,18,8630.33726539402,"1997"
1,19,0,"1997"
2,1,102031.662196833,"1997"
2,2,114851.639862913,"1997"
2,3,121016.088962588,"1997"
2,4,129508.598399751,"1997"
2,5,150542.17407106,"1997"
2,6,151544.591163,"1997"
2,7,139809.510234101,"1997"
2,8,126533.362249387,"1997"
2,9,121218.851423805,"1997"
2,10,107273.460703584,"1997"
2,11,98404.1856939731,"1997"
2,12,76549.9737278003,"1997"
2,13,58925.0140971986,"1997"
2,14,49560.3185868975,"1997"
2,15,41267.3158354817,"1997"
2,16,25072.7268947141,"1997"
2,17,12536.3634473571,"1997"
2,18,12536.3634473571,"1997"
2,19,0,"1997"
1,1,108239.004585347,"1998"
1,2,122096.147712426,"1998"
1,3,128211.232167082,"1998"
1,4,136686.114375437,"1998"
1,5,153371.324197276,"1998"
1,6,155339.771162154,"1998"
1,7,142540.298304211,"1998"
1,8,128989.183455038,"1998"
1,9,123512.464852925,"1998"
1,10,111780.345546942,"1998"
1,11,98170.582890481,"1998"
1,12,76732.5255334338,"1998"
1,13,57320.6494313056,"1998"
1,14,44178.9730124553,"1998"
1,15,34370.721029673,"1998"
1,16,17435.0247785738,"1998"
1,17,8717.51238928689,"1998"
1,18,8717.51238928689,"1998"
1,19,0,"1998"
2,1,103062.285047306,"1998"
2,2,116011.757437286,"1998"
2,3,122238.473699584,"1998"
2,4,130816.766060354,"1998"
2,5,152062.80209198,"1998"
2,6,153075.344609091,"1998"
2,7,141221.727509193,"1998"
2,8,127811.477019583,"1998"
2,9,122443.28426647,"1998"
2,10,108357.031013722,"1998"
2,11,99398.1673676496,"1998"
2,12,77323.2057856568,"1998"
2,13,59520.2162597966,"1998"
2,14,50060.9278655531,"1998"
2,15,41684.1574095775,"1998"
2,16,25325.9867623375,"1998"
2,17,12662.9933811687,"1998"
2,18,12662.9933811687,"1998"
2,19,0,"1998"
1,1,109332.327863987,"1999"
1,2,123329.442133764,"1999"
1,3,129506.295118264,"1999"
1,4,138066.782197411,"1999"
1,5,154920.529492198,"1999"
1,6,156908.859759751,"1999"
1,7,143980.099297183,"1999"
1,8,130292.104500039,"1999"
1,9,124760.065508005,"1999"
1,10,112909.439946406,"1999"
1,11,99162.2049398798,"1999"
1,12,77507.601548923,"1999"
1,13,57899.6458902076,"1999"
1,14,44625.2252651064,"1999"
1,15,34717.9000299728,"1999"
1,16,17611.1361399735,"1999"
1,17,8805.56806998676,"1999"
1,18,8805.56806998676,"1999"
1,19,0,"1999"
2,1,104103.318229603,"1999"
2,2,117183.593370996,"1999"
2,3,123473.205757155,"1999"
2,4,132138.147535711,"1999"
2,5,153598.789991899,"1999"
2,6,154621.560211203,"1999"
2,7,142648.209605246,"1999"
2,8,129102.502039983,"1999"
2,9,123680.085117646,"1999"
2,10,109451.546478507,"1999"
2,11,100402.189260252,"1999"
2,12,78104.2482683402,"1999"
2,13,60121.4305654511,"1999"
2,14,50566.593803589,"1999"
2,15,42105.2095046237,"1999"
2,16,25581.8048104419,"1999"
2,17,12790.9024052209,"1999"
2,18,12790.9024052209,"1999"
2,19,0,"1999"
1,1,110436.694812108,"2000"
1,2,124575.194074509,"2000"
1,3,130814.439513398,"2000"
1,4,139461.396159001,"2000"
1,5,156485.383325452,"2000"
1,6,158493.797737123,"2000"
1,7,145434.443734528,"2000"
1,8,131608.186363676,"2000"
1,9,126020.268189904,"2000"
1,10,114049.939339804,"2000"
1,11,100163.843373616,"2000"
1,12,78290.5066150738,"2000"
1,13,58484.4907981895,"2000"
1,14,45075.985116269,"2000"
1,15,35068.5858888614,"2000"
1,16,17789.0264040136,"2000"
1,17,8894.51320200682,"2000"
1,18,8894.51320200682,"2000"
1,19,0,"2000"
2,1,105154.866898588,"2000"
2,2,118367.266031309,"2000"
2,3,124720.409855713,"2000"
2,4,133472.876298698,"2000"
2,5,155150.29292111,"2000"
2,6,156183.394152731,"2000"
2,7,144089.100611359,"2000"
2,8,130406.567717154,"2000"
2,9,124929.378906713,"2000"
2,10,110557.117655057,"2000"
2,11,101416.352788133,"2000"
2,12,78893.1800690305,"2000"
2,13,60728.7177428799,"2000"
2,14,51077.3674783727,"2000"
2,15,42530.5146511351,"2000"
2,16,25840.2068792343,"2000"
2,17,12920.1034396171,"2000"
2,18,12920.1034396171,"2000"
2,19,0,"2000"
1,1,111552.216981927,"2001"
1,2,125833.529368191,"2001"
1,3,132135.797488281,"2001"
1,4,140870.097130304,"2001"
1,5,158066.043763083,"2001"
1,6,160094.745189013,"2001"
1,7,146903.478519725,"2001"
1,8,132937.561983511,"2001"
1,9,127293.200191822,"2001"
1,10,115201.958929095,"2001"
1,11,101175.599367289,"2001"
1,12,79081.3198132058,"2001"
1,13,59075.2432304945,"2001"
1,14,45531.2980972415,"2001"
1,15,35422.8140291529,"2001"
1,16,17968.7135394077,"2001"
1,17,8984.35676970386,"2001"
1,18,8984.35676970386,"2001"
1,19,0,"2001"
2,1,106217.037271301,"2001"
2,2,119562.89498112,"2001"
2,3,125980.211975467,"2001"
2,4,134821.087170402,"2001"
2,5,156717.467597081,"2001"
2,6,157761.004194677,"2001"
2,7,145544.54607208,"2001"
2,8,131723.805774903,"2001"
2,9,126191.291824963,"2001"
2,10,111673.85621723,"2001"
2,11,102440.760392054,"2001"
2,12,79690.0808778086,"2001"
2,13,61342.1391342221,"2001"
2,14,51593.3004832047,"2001"
2,15,42960.1158092273,"2001"
2,16,26101.2190699336,"2001"
2,17,13050.6095349668,"2001"
2,18,13050.6095349668,"2001"
2,19,0,"2001"
1,1,112679.007052451,"2002"
1,2,127104.575119385,"2002"
1,3,133470.502513415,"2002"
1,4,142293.027404347,"2002"
1,5,159662.670467761,"2002"
1,6,161711.863827286,"2002"
1,7,148387.352040126,"2002"
1,8,134280.36563991,"2002"
1,9,128578.99009275,"2002"
1,10,116365.615079894,"2002"
1,11,102197.575118474,"2002"
1,12,79880.1210234402,"2002"
1,13,59671.9628590853,"2002"
1,14,45991.2101992338,"2002"
1,15,35780.6202314676,"2002"
1,16,18150.2156963714,"2002"
1,17,9075.10784818572,"2002"
1,18,9075.10784818572,"2002"
1,19,0,"2002"
2,1,107289.936637678,"2002"
2,2,120770.60099103,"2002"
2,3,127252.739369159,"2002"
2,4,136182.91633374,"2002"
2,5,158300.472320284,"2002"
2,6,159354.549691593,"2002"
2,7,147014.693002101,"2002"
2,8,133054.349267579,"2002"
2,9,127465.951338346,"2002"
2,10,112801.874966899,"2002"
2,11,103475.515547529,"2002"
2,12,80495.0311897057,"2002"
2,13,61961.7567012345,"2002"
2,14,52114.44493253,"2002"
2,15,43394.0563729569,"2002"
2,16,26364.8677474077,"2002"
2,17,13182.4338737038,"2002"
2,18,13182.4338737038,"2002"
2,19,0,"2002"
1,1,113817.17884086,"2003"
1,2,128388.45971655,"2003"
1,3,134818.68940749,"2003"
1,4,143730.330711462,"2003"
1,5,161275.42471491,"2003"
1,6,163345.316997258,"2003"
1,7,149886.214181946,"2003"
1,8,135636.732969606,"2003"
1,9,129877.767770454,"2003"
1,10,117541.025333226,"2003"
1,11,103229.873857044,"2003"
1,12,80686.9909327679,"2003"
1,13,60274.7099586721,"2003"
1,14,46455.7678780139,"2003"
1,15,36142.040637846,"2003"
1,16,18333.551208456,"2003"
1,17,9166.775604228,"2003"
1,18,9166.775604228,"2003"
1,19,0,"2003"
2,1,108373.673371392,"2003"
2,2,121990.506051546,"2003"
2,3,128538.120574908,"2003"
2,4,137558.501347212,"2003"
2,5,159899.466990186,"2003"
2,6,160964.19160767,"2003"
2,7,148499.689901112,"2003"
2,8,134398.332593514,"2003"
2,9,128753.48620035,"2003"
2,10,113941.287845352,"2003"
2,11,104520.722775282,"2003"
2,12,81308.112312834,"2003"
2,13,62587.63303155,"2003"
2,14,52640.8534672021,"2003"
2,15,43832.380174704,"2003"
2,16,26631.179542836,"2003"
2,17,13315.589771418,"2003"
2,18,13315.589771418,"2003"
2,19,0,"2003"
1,1,114966.847314,"2004"
1,2,129685.312845,"2004"
1,3,136180.494351,"2004"
1,4,145182.1522338,"2004"
1,5,162904.469409,"2004"
1,6,164995.2696942,"2004"
1,7,151400.2163454,"2004"
1,8,137006.8009794,"2004"
1,9,131189.6644146,"2004"
1,10,118728.3084174,"2004"
1,11,104272.5998556,"2004"
1,12,81502.0110431999,"2004"
1,13,60883.5454128001,"2004"
1,14,46925.0180585999,"2004"
1,15,36507.1117554,"2004"
1,16,18518.7385944,"2004"
1,17,9259.3692972,"2004"
1,18,9259.3692972,"2004"
1,19,0,"2004"
2,1,109468.3569408,"2004"
2,2,123222.7333854,"2004"
2,3,129836.4854292,"2004"
2,4,138947.9811588,"2004"
2,5,161514.6131214,"2004"
2,6,162590.092533,"2004"
2,7,149999.6867688,"2004"
2,8,135755.8915086,"2004"
2,9,130054.026465,"2004"
2,10,115092.2099448,"2004"
2,11,105576.4876518,"2004"
2,12,82129.4063766,"2004"
2,13,63219.831345,"2004"
2,14,53172.5792598001,"2004"
2,15,44275.1314896,"2004"
2,16,26900.1813564,"2004"
2,17,13450.0906782,"2004"
2,18,13450.0906782,"2004"
2,19,0,"2004"
1,1,116128.1286,"2005"
1,2,130995.2655,"2005"
1,3,137556.0549,"2005"
1,4,146648.63862,"2005"
1,5,164549.9691,"2005"
1,6,166661.88858,"2005"
1,7,152929.51146,"2005"
1,8,138390.70806,"2005"
1,9,132514.81254,"2005"
1,10,119927.58426,"2005"
1,11,105325.85844,"2005"
1,12,82325.2636799999,"2005"
1,13,61498.5307200001,"2005"
1,14,47399.0081399999,"2005"
1,15,36875.87046,"2005"
1,16,18705.79656,"2005"
1,17,9352.89828,"2005"
1,18,9352.89828,"2005"
1,19,0,"2005"
2,1,110574.09792,"2005"
2,2,124467.40746,"2005"
2,3,131147.96508,"2005"
2,4,140351.49612,"2005"
2,5,163146.07386,"2005"
2,6,164232.4167,"2005"
2,7,151514.83512,"2005"
2,8,137127.16314,"2005"
2,9,131367.7035,"2005"
2,10,116254.75752,"2005"
2,11,106642.91682,"2005"
2,12,82958.99634,"2005"
2,13,63858.4155,"2005"
2,14,53709.6760200001,"2005"
2,15,44722.35504,"2005"
2,16,27171.90036,"2005"
2,17,13585.95018,"2005"
2,18,13585.95018,"2005"
2,19,0,"2005"
1,1,117301.14,"2006"
1,2,132318.45,"2006"
1,3,138945.51,"2006"
1,4,148129.938,"2006"
1,5,166212.09,"2006"
1,6,168345.342,"2006"
1,7,154474.254,"2006"
1,8,139788.594,"2006"
1,9,133853.346,"2006"
1,10,121138.974,"2006"
1,11,106389.756,"2006"
1,12,83156.8319999999,"2006"
1,13,62119.7280000001,"2006"
1,14,47877.7859999999,"2006"
1,15,37248.354,"2006"
1,16,18894.744,"2006"
1,17,9447.372,"2006"
1,18,9447.372,"2006"
1,19,0,"2006"
2,1,111691.008,"2006"
2,2,125724.654,"2006"
2,3,132472.692,"2006"
2,4,141769.188,"2006"
2,5,164794.014,"2006"
2,6,165891.33,"2006"
2,7,153045.288,"2006"
2,8,138512.286,"2006"
2,9,132694.65,"2006"
2,10,117429.048,"2006"
2,11,107720.118,"2006"
2,12,83796.966,"2006"
2,13,64503.45,"2006"
2,14,54252.1980000001,"2006"
2,15,45174.096,"2006"
2,16,27446.364,"2006"
2,17,13723.182,"2006"
2,18,13723.182,"2006"
2,19,0,"2006"
1,1,118486,"2007"
1,2,133655,"2007"
1,3,140349,"2007"
1,4,149626.2,"2007"
1,5,167891,"2007"
1,6,170045.8,"2007"
1,7,156034.6,"2007"
1,8,141200.6,"2007"
1,9,135205.4,"2007"
1,10,122362.6,"2007"
1,11,107464.4,"2007"
1,12,83996.7999999999,"2007"
1,13,62747.2000000001,"2007"
1,14,48361.3999999999,"2007"
1,15,37624.6,"2007"
1,16,19085.6,"2007"
1,17,9542.8,"2007"
1,18,9542.8,"2007"
1,19,0,"2007"
2,1,112819.2,"2007"
2,2,126994.6,"2007"
2,3,133810.8,"2007"
2,4,143201.2,"2007"
2,5,166458.6,"2007"
2,6,167567,"2007"
2,7,154591.2,"2007"
2,8,139911.4,"2007"
2,9,134035,"2007"
2,10,118615.2,"2007"
2,11,108808.2,"2007"
2,12,84643.4,"2007"
2,13,65155,"2007"
2,14,54800.2000000001,"2007"
2,15,45630.4,"2007"
2,16,27723.6,"2007"
2,17,13861.8,"2007"
2,18,13861.8,"2007"
2,19,0,"2007"
